make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days,trips/day,rate/day,price/rate/day
Dodge,Grand Caravan,2014,71,None,0,1,12/30/14,EAST HANOVER,NJ,17.62330437,16961.66667,138,0.007246377,0.514492754,32967.74648
MINI,Cooper,2013,48,5,1,1,2/19/15,Verona,NJ,11.43433666,18260,87,0.011494253,0.551724138,33096.25
Nissan,Cube,2009,30,None,0,4,2/6/14,morristown,NJ,21.44975472,10334.6,465,0.008602151,0.258064516,40046.575
Subaru,BRZ,2013,155,5,1,1,6/23/14,north bergen,NJ,6.276912689,20398.75,328,0.00304878,0.472560976,43166.3871
Scion,xB,2012,43,5,4,4,5/18/13,Newark,NJ,5.765391827,14261.25,729,0.005486968,0.235939643,60444.48401
Honda,Pilot,2012,85,None,0,1,10/25/14,Cliffside Park,NJ,8.499668121,26232.5,204,0.004901961,0.416666667,62958
Nissan,Sentra,2011,59,None,0,1,7/6/14,Jersey City,NJ,2.065775394,12713.28571,315,0.003174603,0.187301587,67876.01695
Jeep,Wrangler,2014,99,5,1,1,8/9/14,West New York,NJ,4.961893082,24922.14286,281,0.003558719,0.352313167,70738.6075
Honda,Fit,2009,38,5,2,2,12/13/13,Hackensack,NJ,11.64062691,11601.5,520,0.003846154,0.146153846,79378.68421
Toyota,Corolla,2009,30,5,1,3,2/24/13,Iselin,NJ,16.46422768,11070.375,812,0.003694581,0.110837438,99879.38333
Audi,A4,2009,60,None,0,0,5/10/15,Jersey City,NJ,2.389420509,18320.5,7,0,0,#DIV/0!
Volvo,C70,2004,49,None,0,0,3/28/15,Hoboken,NJ,2.716914177,7429.5,50,0,0,#DIV/0!
Cadillac,DeVille,2005,39,None,0,0,5/3/15,Jersey City,NJ,0.790230691,6642.75,14,0,0,#DIV/0!
Audi,A7,2015,260,5,1,1,3/29/15,Jersey City,NJ,0.808709204,None,49,0.020408163,5.306122449,#VALUE!
Infiniti,G37,2009,119,None,0,0,10/8/14,Jersey City,NJ,1.42961061,17563.4,221,0,0,#DIV/0!
Toyota,Highlander,2014,99,None,0,0,4/14/15,East Orange,NJ,7.252234459,31832.90909,33,0,0,#DIV/0!
Mercedes-Benz,E-Class,2010,325,None,0,0,12/9/14,fairview,NJ,7.272916317,26993,159,0,0,#DIV/0!
Mercedes-Benz,C-Class,2010,60,None,0,0,4/29/15,Jersey City,NJ,1.788101077,21859.66667,18,0,0,#DIV/0!
Nissan,Altima,2013,56,None,0,0,4/28/15,hoboken,NJ,2.494661093,17028.66667,19,0,0,#DIV/0!
Toyota,Camry,2015,49,None,0,0,2/13/15,Lyndhurst,NJ,6.014882088,23115.66667,93,0,0,#DIV/0!
Ford,Mustang,2015,99,5,2,2,4/10/15,Jersey City,NJ,2.239372253,None,37,0.054054054,5.351351351,#VALUE!
Toyota,Prius c,2013,39,None,0,0,4/12/15,Lyndhurst,NJ,5.966662407,16033.25,35,0,0,#DIV/0!
Honda,Civic,2011,50,None,0,0,2/7/15,jersey city,NJ,2.117598057,14606.30303,99,0,0,#DIV/0!
Audi,A8,2011,225,None,0,0,7/7/14,Edgewater,NJ,7.237868309,39310,314,0,0,#DIV/0!
Lexus,LS 600h L,2008,185,None,0,0,2/10/15,Hoboken,NJ,2.640551329,33149,96,0,0,#DIV/0!
Nissan,Altima,2015,200,None,0,0,3/23/15,Weehawken,NJ,4.37364769,20559.75,55,0,0,#DIV/0!
Infiniti,QX60,2015,99,5,1,2,4/12/15,Lyndhurst,NJ,6.043502331,None,35,0.057142857,5.657142857,#VALUE!
Volkswagen,Passat,2013,100,None,0,0,7/8/14,Jersey City,NJ,2.480369091,17231.2963,313,0,0,#DIV/0!
Nissan,Altima,2015,150,None,0,0,3/20/15,Hoboken,NJ,2.61006856,20559.75,58,0,0,#DIV/0!
Honda,Civic,2011,40,None,0,0,12/23/14,Bloomfield,NJ,8.892056465,14606.30303,145,0,0,#DIV/0!
BMW,7 Series,2003,90,None,0,0,4/20/15,Jersey City,NJ,1.413199425,10153.33333,27,0,0,#DIV/0!
Honda,CR-V,2010,47,None,0,0,5/1/15,Jersey City,NJ,1.557010412,18939.875,16,0,0,#DIV/0!
BMW,X3,2004,69,None,0,0,5/13/15,Jersey City,NJ,0.80622226,8669.5,4,0,0,#DIV/0!
BMW,X6,2014,264,None,0,0,9/29/14,Jersey City,NJ,1.586408138,48726.5,230,0,0,#DIV/0!
BMW,1 Series,2009,59,None,0,0,5/11/15,Jersey City,NJ,2.052760124,16623.5,6,0,0,#DIV/0!
Hyundai,Sonata,2014,90,None,0,0,2/10/15,Newark,NJ,6.722664356,17546.625,96,0,0,#DIV/0!
Ford,Transit Connect,2014,73,None,0,0,4/28/15,kearny,NJ,3.997253418,18364,19,0,0,#DIV/0!
Hyundai,Genesis,2015,199,None,0,0,3/31/15,Hoboken,NJ,2.431582212,35066,47,0,0,#DIV/0!
Toyota,4Runner,2005,75,None,0,0,4/19/15,Jersey City,NJ,2.03492403,12107.25,28,0,0,#DIV/0!
Land Rover,Range Rover Evoque,2013,101,None,0,0,4/24/15,secaucus,NJ,2.439770937,38549.375,23,0,0,#DIV/0!
Toyota,Camry,2015,120,None,0,0,4/28/15,Jersey city,NJ,2.35976553,23115.66667,19,0,0,#DIV/0!
BMW,X1,2015,190,None,0,0,4/14/15,Union City,NJ,3.396254539,27855.66667,33,0,0,#DIV/0!
Volvo,V40,2004,29,None,0,0,5/12/15,Hackensack,NJ,10.39591599,6144.5,5,0,0,#DIV/0!
Chrysler,Pacifica,2004,39,None,0,0,5/9/15,Hackensack,NJ,10.3926506,6270,8,0,0,#DIV/0!
Toyota,Avalon,2014,79,None,0,0,5/5/15,Union City,NJ,4.106622696,26358.75,12,0,0,#DIV/0!
Mercedes-Benz,M-Class,2012,148,None,0,0,4/15/15,Lyndhurst,NJ,5.984833717,44245.75,32,0,0,#DIV/0!
Land Rover,Range Rover,2006,140,None,0,0,3/21/15,Newark,NJ,5.859144688,17580.5,57,0,0,#DIV/0!
Maserati,Ghibli,2015,399,None,0,0,2/23/15,East Rutherford,NJ,7.372905254,None,83,0,0,#VALUE!
Jaguar,XJ,2012,325,None,0,0,5/8/15,Bloomfield,NJ,8.083280563,53419.16667,9,0,0,#DIV/0!
BMW,7 Series,2012,159,None,0,0,4/6/15,BLOOMFIELD,NJ,8.114837646,45558.57143,41,0,0,#DIV/0!
Ford,Crown Victoria,2003,32,None,0,0,5/5/15,BELLEVILLE,NJ,6.469116688,5420.75,12,0,0,#DIV/0!
Ford,F-150,2007,46,None,0,0,5/5/15,Teaneck,NJ,12.52803516,15442.875,12,0,0,#DIV/0!
Toyota,Camry,2011,90,None,0,0,4/23/15,Newark,NJ,6.675774574,15106.7,24,0,0,#DIV/0!
Honda,Accord,2007,75,None,0,0,4/23/15,Newark,NJ,6.706346512,11033.15152,24,0,0,#DIV/0!
Mercedes-Benz,CLA-Class,2014,99,None,0,0,1/10/15,Ridgefield PK,NJ,9.713445663,28461,127,0,0,#DIV/0!
Nissan,Altima,2008,39,None,0,0,4/22/15,Rahway,NJ,13.048172,10842,25,0,0,#DIV/0!
Honda,CR-V,2008,80,None,0,0,7/14/14,Newark,NJ,8.958565712,15609,307,0,0,#DIV/0!
Nissan,Maxima,2014,86,None,0,0,4/27/15,Newark,NJ,7.137843609,20051,20,0,0,#DIV/0!
Chrysler,300,2005,50,None,0,0,4/19/15,East Orange,NJ,7.895296574,9000.333333,28,0,0,#DIV/0!
Honda,CR-V,2014,55,None,0,0,4/17/15,East Orange,NJ,7.906075954,23813.3,30,0,0,#DIV/0!
Mercedes-Benz,E-Class,2012,96,None,0,0,4/30/15,Hillside,NJ,8.501755714,35073.875,17,0,0,#DIV/0!
Toyota,Corolla,2015,68,None,0,0,3/26/15,Teterboro,NJ,9.235405922,16728,52,0,0,#DIV/0!
Audi,A4,2009,157,None,0,0,4/28/15,Lodi,NJ,10.16824436,18320.5,19,0,0,#DIV/0!
Toyota,Corolla,2014,89,None,0,0,5/11/15,Edgewater,NJ,8.61150074,15304.16667,6,0,0,#DIV/0!
BMW,X5,2014,190,None,0,0,1/9/15,Ridgefield Park,NJ,9.708825111,47796.25,128,0,0,#DIV/0!
Mercedes-Benz,G-Class,2011,550,None,0,0,4/19/15,Lincoln Park,NJ,17.82479095,80274,28,0,0,#DIV/0!
Nissan,Rogue Select,2014,71,None,0,0,4/16/15,clifton,NJ,10.55903912,17027.5,31,0,0,#DIV/0!
Mercury,Grand Marquis,2003,88,None,0,0,5/3/15,South Orange,NJ,10.08088779,5785,14,0,0,#DIV/0!
Toyota,Camry,2004,34,None,0,0,1/29/15,HACKENSACK,NJ,11.10925388,7089.125,108,0,0,#DIV/0!
BMW,6 Series,2012,249,None,0,0,5/10/15,Livingston,NJ,12.52799702,45934.83333,7,0,0,#DIV/0!
Dodge,Grand Caravan,2014,71,None,0,0,7/11/14,FLORHAM PARK,NJ,15.1816597,16961.66667,310,0,0,#DIV/0!
BMW,6 Series,2004,150,None,0,0,4/16/15,Paterson,NJ,14.2046051,15320,31,0,0,#DIV/0!
Toyota,Corolla,2015,47,None,0,0,5/12/15,wayne,NJ,14.57453346,16728,5,0,0,#DIV/0!
Porsche,Cayenne,2008,350,None,0,0,5/6/15,Matawan ,NJ,23.51943207,24120.5,11,0,0,#DIV/0!
Cadillac,Escalade ESV,2014,285,None,0,0,5/9/15,Colonia,NJ,16.02725983,55399,8,0,0,#DIV/0!
Honda,Accord,2011,49,None,0,0,4/27/15,Edison,NJ,22.23736382,16504.61905,20,0,0,#DIV/0!
Lexus,GX 460,2015,198,None,0,0,5/13/15,Perth Amboy,NJ,16.93372536,48783.5,4,0,0,#DIV/0!
Nissan,Altima,2013,65,None,0,0,5/5/15,Fords,NJ,18.37386131,17028.66667,12,0,0,#DIV/0!
Toyota,Highlander,2015,129,None,0,0,4/8/15,Upper Saddle River,NJ,22.49176025,None,39,0,0,#VALUE!
Ford,Mustang,2007,89,None,0,0,2/18/15,Pequannock,NJ,18.89206123,13447.125,88,0,0,#DIV/0!
Infiniti,G Sedan,2011,90,None,0,0,8/13/14,Morristown,NJ,21.96598625,21699.8,277,0,0,#DIV/0!
Toyota,Camry,2011,50,None,0,0,4/30/15,Pompton Lakes,NJ,22.39695168,15106.7,17,0,0,#DIV/0!
