make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Toyota,Camry,2015,67.0,None,0,0,2015-05-21 14:22:36,newark,NJ,6.60902309418,23041.1666667,17,0.0,0.0,None
Jeep,Grand Cherokee,2015,95.0,None,0,0,2015-06-03 19:38:00,Clifton,NJ,7.90877532959,32730.7,3,0.0,0.0,None
Chevrolet,Spark,2015,42.0,5,5,7,2014-12-19 17:28:11,Clark,NJ,13.3646097183,12219.6666667,170,0.0411764705882,1.72941176471,7065.79365079
Jaguar,XJ,2012,325.0,None,0,0,2015-05-08 10:56:50,Bloomfield,NJ,8.08328056335,52640.0,30,0.0,0.0,None
Honda,CR-V,1997,50.0,4.9286,14,19,2013-03-25 09:32:42,MAPLEWOOD,NJ,10.5694818497,3364.0,804,0.023631840796,1.1815920398,2847.00631579
Toyota,Camry,2010,50.0,4.75,4,7,2015-03-16 16:31:08,woodland Park,NJ,12.6590614319,14362.3,83,0.0843373493976,4.21686746988,3405.91685714
Chevrolet,Cavalier,2005,31.0,None,0,0,2015-05-30 06:02:38,Fairview,NJ,7.46890592575,4019.57142857,8,0.0,0.0,None
BMW,M4,2015,475.0,None,0,0,2015-05-23 19:37:45,LODI,NJ,9.73317623138,55835.0,14,0.0,0.0,None
Lexus,RC 350,2015,275.0,None,0,0,2015-05-23 19:44:11,LODI,NJ,9.73334980011,35060.5,14,0.0,0.0,None
Volkswagen,Tiguan,2013,65.0,None,0,0,2015-05-30 16:17:17,Rutherford,NJ,6.77385663986,20646.0909091,8,0.0,0.0,None
Cadillac,Escalade,2015,450.0,None,0,0,2015-05-23 19:55:07,LODI,NJ,9.73765850067,71922.4285714,14,0.0,0.0,None
Chevrolet,Corvette,2015,500.0,None,0,0,2015-05-23 19:26:29,LODI,NJ,9.7385263443,62446.0555556,14,0.0,0.0,None
BMW,X5,2014,115.0,None,0,0,2015-01-09 20:08:07,Ridgefield Park,NJ,9.70882511139,46324.5,148,0.0,0.0,None
Honda,Accord,2014,80.0,None,0,0,2015-05-20 13:14:32,Fort Lee,NJ,9.29308128357,22108.5238095,18,0.0,0.0,None
Cadillac,Escalade ESV,2014,285.0,5,1,1,2015-05-09 09:32:21,Colonia,NJ,16.0272598267,56083.375,29,0.0344827586207,9.8275862069,5706.72938596
Dodge,Journey,2010,59.0,None,0,1,2015-05-22 13:55:42,Wayne,NJ,15.6438550949,14638.1428571,16,0.0625,3.6875,3969.66585956
Mercedes-Benz,CLA-Class,2014,115.0,5,3,4,2015-05-31 10:51:21,Livingston,NJ,13.3438224792,28422.6666667,7,0.571428571429,65.7142857143,432.51884058
Toyota,Corolla,2014,79.0,None,0,0,2015-05-16 16:22:08,East Rutherford ,NJ,8.55114650726,15195.8333333,22,0.0,0.0,None
Lexus,CT 200h,2014,89.0,None,0,0,2015-06-07 16:22:39,little ferry,NJ,8.85235691071,24178.0,0,None,None,None
Toyota,Corolla,2015,300.0,None,0,0,2015-03-26 14:04:18,Teterboro,NJ,9.23540592194,16781.0833333,73,0.0,0.0,None
